key;category
section 422 b 6 423 b 7 424 c 4 442 b 6 and 443 b 6 of the cranston-gonzalez national affordable housing act 42 usc 12872 b 6 12873 b 7 12874 c 4 12892 b 6 and 12893 b 6;LegalReferences
section 2023 and 810 b 2 a of the native american housing and self-determination act of 1996 25 usc 41323 4229 b 2 a;LegalReferences
subchapter ii of chapter 53 of title 31 united state code section 21 of the federal deposit insurance act 12 usc 1829 b;LegalReferences
section 220 d 2 g of the low-income housing preservation and resident homeownership act of 1990 12 usc 4110 d 2 g;LegalReferences
section 233 b 2 and 258 b of the cranston-gonzalez national affordable housing act 42 usc 12773 b 2 12808 b;LegalReferences
5 th subparagraph of the 4 th undesignated paragraph of section 4 of the federal reserve act 12 usc 341;LegalReferences
section 106 a 4 f of the housing and urban development act of 1968 12 usc 1701 xa 4 f;LegalReferences
section 106 c 5 aii of the housing and urban development act of 1968 12 usc 1701 xc 5 aii;LegalReferences
section 1119 a 2 of the financial institution reform recovery and enforcement act of 1989 12 usc 3348 a 2;LegalReferences
section 116 d and 502 bb of the foreign assistance act of 1961 22 usc 2151 nd and 2304 b;LegalReferences
section 2301 f 3 aii of the housing and economic recovery act of 2008 42 usc 5301 f 3 aii;LegalReferences
model regulation on the use of senior-specific certification and professional designation in the sale of life insurance and annuity;LegalReferences
section 1004 a 4 of the federal financial institution examination council act of 1978 12 usc 3303 a 4;LegalReferences
section 13 a or 15 d of the security exchange act of 1934 15 usc 78 m 78 o;LegalReferences
section 302 a 4 of the american homeownership and economic opportunity act of 2000 42 usc 1437 f note;LegalReferences
section 491 b 1 f iii of the mckinney-vento homeless assistance act 42 usc 11408 b 1 f iii;LegalReferences
barnett bank of marion county n a v nelson florida insurance commissioner et al 517 u 25 1996;LegalReferences
barnett bank of marion county n a v nelson florida insurance commissioner et al 517 u 25 1996;LegalReferences
chapter one of title lxii of the revised statute of the united state 12 usc 21 et seq;LegalReferences
section 101 e of the housing and urban development act of 1968 12 usc 1701 x 1701 we;LegalReferences
section 105 a 20 of the housing and community development act of 1974 42 usc 5305 a 20;LegalReferences
section 106 a 4 of the housing and urban development act of 1968 12 usc 1701 xa 4;LegalReferences
section 106 g 1 of the housing and urban development act of 1968 12 usc 1701 xh 1;LegalReferences
section 1103 a of the financial institution reform recovery and enforcement act of 1989 12 usc 3332 a;LegalReferences
section 1104 b of the financial institution reform recovery and enforcement act of 1989 12 usc 3333 b;LegalReferences
section 1109 a of the financial institution reform recovery and enforcement act of 1989 12 usc 3338 a;LegalReferences
section 1109 b of the financial institution reform recovery and enforcement act of 1989 12 usc 3338 b;LegalReferences
section 1112 b of the financial institution reform recovery and enforcement act of 1989 12 usc 3341 b;LegalReferences
section 1122 d of the financial institution reform recovery and enforcement act of 1989 12 usc 3351 d;LegalReferences
section 1124 of the financial institution reform recovery and enforcement act of 1989 12 usc 3331 et seq;LegalReferences
section 5136 a of title lxii of the revised statute of the united state 12 usc 24 a;LegalReferences
title xi of the financial institution reform recovery and enforcement act of 1989 12 usc 3331 et seq;LegalReferences
section 1113 of the financial institution and reform recovery and enforcement act of 1989 12 usc 3342;LegalReferences
section 1122 of the financial institution reform recovery and enforcement act of 1989 12 usc 3351 b;LegalReferences
section 13 c 4 g of the federal deposit insurance act 12 usc 1823 c 4 g;LegalReferences
section 13 c 4 gi of the federal deposit insurance act 12 usc 1823 c 4 gi;LegalReferences
section 130320 of the federal housing enterprise financial safety and soundness act of 1992 12 usc 450220;LegalReferences
section 21 or 27 of the security exchange act of 1934 15 usc 78 u 78 aa;LegalReferences
section 4 d of the telemarketing and consumer fraud and abuse prevention act 15 usc 6103 d;LegalReferences
section 5 c of the telemarketing and consumer fraud and abuse prevention act 15 usc 6104 c;LegalReferences
section 502 h 4 b of the housing act of 1949 42 usc 1472 h 4 b;LegalReferences
section 603 of the national manufactured housing construction and safety standard act of 1974 42 usc 5402;LegalReferences
section 7 h 10 of the food and nutrition act of 2008 7 usc 2016 h 10;LegalReferences
section 1035 of the community development banking and financial institution act of 1994 12 usc 47025;LegalReferences
section 106 a of the housing and urban development act of 1968 12 usc 1701 xa;LegalReferences
section 106 e of the housing and urban development act of 1968 12 usc 1701 xe;LegalReferences
section 1106 of the financial institution reform recovery and enforcement act of 1989 12 usc 3335;LegalReferences
section 1110 of the financial institution reform recovery and enforcement act of 1989 12 usc 3339;LegalReferences
section 1116 of the financial institution reform recovery and enforcement act of 1989 12 usc 3345;LegalReferences
section 1117 of the financial institution reform recovery and enforcement act of 1989 12 usc 3346;LegalReferences
section 1118 of the financial institution reform recovery and enforcement act of 1989 12 usc 3347;LegalReferences
section 1121 of the financial institution reform recovery and enforcement act of 1989 12 usc 3350;LegalReferences
section 112111 of the financial institution reform recovery and enforcement act of 1989 12 usc 335011;LegalReferences
section 11216 of the financial institution reform recovery and enforcement act of 1989 12 usc 33506;LegalReferences
section 11218 of the financial institution reform recovery and enforcement act of 1989 12 usc 33508;LegalReferences
section 1122 of the financial institution reform recovery and enforcement act of 1989 12 usc 3351;LegalReferences
section 1132 of the housing and economic recovery act of 2008 12 usc 1701 x note;LegalReferences
section 203 c 2 a of the national housing act 12 usc 1709 c 2 a;LegalReferences
section 2301 b of the housing and economic recovery act of 2008 42 usc 5301 note;LegalReferences
section 233 b 2 of the cranston-gonzalez national affordable housing act 42 usc 12773 b 2;LegalReferences
section 422 b 6 of the cranston-gonzalez national affordable housing act 42 usc 12872 b 6;LegalReferences
section 508 of the housing and urban development act of 1970 12 usc 1701 z 7;LegalReferences
paragraph 1 of section 2301 c of the housing and economic recovery act of 2008;LegalReferences
section 103 aa 2 of the truth in lending act 15 usc 1602 aa 2;LegalReferences
section 103 aa 4 of the truth in lending act 15 usc 1602 aa 4;LegalReferences
section 106 of the housing and urban development act of 1968 12 usc 1701 x;LegalReferences
section 1062 of the electronic signature in global and national commerce act 15 usc 70062;LegalReferences
section 129 c 2 of the truth in lending act 15 usc 1639 c 2;LegalReferences
section 919 a 2 d and 919 a 3 of the electronic fund transfer act;LegalReferences
subsection d 2 b and m 1 of section 255 12 usc 1715 z 20;LegalReferences
housing enterprise financial safety and soundness act of 1992 12 usc 4501 et seq;LegalReferences
section 133 c section 714 f 3 c of title 31 united state code;LegalReferences
section 217 of the investment adviser act of 1940 15 usc 80 b 17;LegalReferences
section 32 a of the security exchange act of 1934 15 usc 78 ffa;LegalReferences
section 49 of the investment company act of 1940 15 usc 80 a 48;LegalReferences
section 5 of the real estate settlement procedure act of 1974 12 usc 2604;LegalReferences
section 8 of the united state housing act of 1937 42 usc 1437 f;LegalReferences
the public utility holding company act of 1935 15 usc 79 a et seq;LegalReferences
alternative mortgage transaction parity act of l 982 12 usc 3801 et seq;LegalReferences
housing enterprise financial safety and soundness act of 1992 12 usc 4617 d;LegalReferences
national association of insurance commissioner suitability in annuity transaction model regulation model 275;LegalReferences
section 10 ai 1 b 15 usc 78 j 1 i 1 b;LegalReferences
section 103 aa of the truth in lending act 15 usc 1602 aa;LegalReferences
section 108 a of the truth in lending act 15 usc 1607 a;LegalReferences
section 12 d 1 j 15 usc 80 a 12 d 1 j;LegalReferences
section 128 b of the truth in lending act 15 usc 1638 b;LegalReferences
section 129 e of the truth in lending act 15 usc 1639 e;LegalReferences
section 130 a of the truth in lending act 15 usc 1640 a;LegalReferences
